$ all processes (read-only)
    PID    PPID STAT     ELAPSED COMMAND
      1       0 Ss   15-18:33:23 /sbin/init splash
      2       0 S    15-18:33:23 [kthreadd]
      3       2 S    15-18:33:23 [pool_workqueue_release]
      4       2 I<   15-18:33:23 [kworker/R-rcu_gp]
      5       2 I<   15-18:33:23 [kworker/R-sync_wq]
      6       2 I<   15-18:33:23 [kworker/R-kvfree_rcu_reclaim]
      7       2 I<   15-18:33:23 [kworker/R-slub_flushwq]
      8       2 I<   15-18:33:23 [kworker/R-netns]
     11       2 I<   15-18:33:23 [kworker/0:0H-events_highpri]
     13       2 I<   15-18:33:23 [kworker/R-mm_percpu_wq]
     14       2 S    15-18:33:23 [ksoftirqd/0]
     15       2 I    15-18:33:23 [rcu_preempt]
     16       2 S    15-18:33:23 [rcu_exp_par_gp_kthread_worker/1]
     17       2 S    15-18:33:23 [rcu_exp_gp_kthread_worker]
     18       2 S    15-18:33:23 [migration/0]
     19       2 S    15-18:33:23 [idle_inject/0]
     20       2 S    15-18:33:23 [cpuhp/0]
     21       2 S    15-18:33:23 [cpuhp/2]
     22       2 S    15-18:33:23 [idle_inject/2]
     23       2 S    15-18:33:23 [migration/2]
     24       2 S    15-18:33:23 [ksoftirqd/2]
     26       2 I<   15-18:33:23 [kworker/2:0H-events_highpri]
     27       2 S    15-18:33:23 [cpuhp/4]
     28       2 S    15-18:33:23 [idle_inject/4]
     29       2 S    15-18:33:23 [migration/4]
     30       2 S    15-18:33:23 [ksoftirqd/4]
     32       2 I<   15-18:33:23 [kworker/4:0H-events_highpri]
     33       2 S    15-18:33:23 [cpuhp/6]
     34       2 S    15-18:33:23 [idle_inject/6]
     35       2 S    15-18:33:23 [migration/6]
     36       2 S    15-18:33:23 [ksoftirqd/6]
     38       2 I<   15-18:33:23 [kworker/6:0H-events_highpri]
     39       2 S    15-18:33:23 [cpuhp/8]
     40       2 S    15-18:33:23 [idle_inject/8]
     41       2 S    15-18:33:23 [migration/8]
     42       2 S    15-18:33:23 [ksoftirqd/8]
     44       2 I<   15-18:33:23 [kworker/8:0H-events_highpri]
     45       2 S    15-18:33:23 [cpuhp/10]
     46       2 S    15-18:33:23 [idle_inject/10]
     47       2 S    15-18:33:23 [migration/10]
     48       2 S    15-18:33:23 [ksoftirqd/10]
     50       2 I<   15-18:33:23 [kworker/10:0H-events_highpri]
     51       2 S    15-18:33:23 [cpuhp/12]
     52       2 S    15-18:33:23 [idle_inject/12]
     53       2 S    15-18:33:23 [migration/12]
     54       2 S    15-18:33:23 [ksoftirqd/12]
     56       2 I<   15-18:33:23 [kworker/12:0H-events_highpri]
     57       2 S    15-18:33:23 [rcu_exp_par_gp_kthread_worker/2]
     58       2 S    15-18:33:23 [cpuhp/14]
     59       2 S    15-18:33:23 [idle_inject/14]
     60       2 S    15-18:33:23 [migration/14]
     61       2 S    15-18:33:23 [ksoftirqd/14]
     63       2 I<   15-18:33:23 [kworker/14:0H-events_highpri]
     64       2 S    15-18:33:23 [cpuhp/16]
     65       2 S    15-18:33:23 [idle_inject/16]
     66       2 S    15-18:33:23 [migration/16]
     67       2 S    15-18:33:23 [ksoftirqd/16]
     69       2 I<   15-18:33:23 [kworker/16:0H-events_highpri]
     70       2 S    15-18:33:23 [cpuhp/17]
     71       2 S    15-18:33:23 [idle_inject/17]
     72       2 S    15-18:33:23 [migration/17]
     73       2 S    15-18:33:23 [ksoftirqd/17]
     75       2 I<   15-18:33:23 [kworker/17:0H-events_highpri]
     76       2 S    15-18:33:23 [cpuhp/18]
     77       2 S    15-18:33:23 [idle_inject/18]
     78       2 S    15-18:33:23 [migration/18]
     79       2 S    15-18:33:23 [ksoftirqd/18]
     81       2 I<   15-18:33:23 [kworker/18:0H-events_highpri]
     82       2 S    15-18:33:23 [cpuhp/19]
     83       2 S    15-18:33:23 [idle_inject/19]
     84       2 S    15-18:33:23 [migration/19]
     85       2 S    15-18:33:23 [ksoftirqd/19]
     87       2 I<   15-18:33:23 [kworker/19:0H-events_highpri]
     88       2 S    15-18:33:23 [cpuhp/20]
     89       2 S    15-18:33:23 [idle_inject/20]
     90       2 S    15-18:33:23 [migration/20]
     91       2 S    15-18:33:23 [ksoftirqd/20]
     93       2 I<   15-18:33:23 [kworker/20:0H-events_highpri]
     94       2 S    15-18:33:23 [cpuhp/21]
     95       2 S    15-18:33:23 [idle_inject/21]
     96       2 S    15-18:33:23 [migration/21]
     97       2 S    15-18:33:23 [ksoftirqd/21]
     99       2 I<   15-18:33:23 [kworker/21:0H-events_highpri]
    100       2 S    15-18:33:23 [cpuhp/22]
    101       2 S    15-18:33:23 [idle_inject/22]
    102       2 S    15-18:33:23 [migration/22]
    103       2 S    15-18:33:23 [ksoftirqd/22]
    105       2 I<   15-18:33:23 [kworker/22:0H-events_highpri]
    106       2 S    15-18:33:23 [cpuhp/23]
    107       2 S    15-18:33:23 [idle_inject/23]
    108       2 S    15-18:33:23 [migration/23]
    109       2 S    15-18:33:23 [ksoftirqd/23]
    111       2 I<   15-18:33:23 [kworker/23:0H-events_highpri]
    112       2 S    15-18:33:23 [cpuhp/1]
    113       2 S    15-18:33:23 [idle_inject/1]
    114       2 S    15-18:33:23 [migration/1]
    115       2 S    15-18:33:23 [ksoftirqd/1]
    117       2 I<   15-18:33:23 [kworker/1:0H-events_highpri]
    118       2 S    15-18:33:23 [cpuhp/3]
    119       2 S    15-18:33:23 [idle_inject/3]
    120       2 S    15-18:33:23 [migration/3]
    121       2 S    15-18:33:23 [ksoftirqd/3]
    123       2 I<   15-18:33:23 [kworker/3:0H-events_highpri]
    124       2 S    15-18:33:23 [cpuhp/5]
    125       2 S    15-18:33:23 [idle_inject/5]
    126       2 S    15-18:33:23 [migration/5]
    127       2 S    15-18:33:23 [ksoftirqd/5]
    129       2 I<   15-18:33:23 [kworker/5:0H-events_highpri]
    130       2 S    15-18:33:23 [cpuhp/7]
    131       2 S    15-18:33:23 [idle_inject/7]
    132       2 S    15-18:33:23 [migration/7]
    133       2 S    15-18:33:23 [ksoftirqd/7]
    135       2 I<   15-18:33:23 [kworker/7:0H-events_highpri]
    136       2 S    15-18:33:23 [cpuhp/9]
